full_text,punctuation_text,normalized,hf_final,hf_score
To do list selama di jakarta 11 - 17 November 2025: 1. Makan nasi kapau ️ 2. Solat Jumat di masjid istiqlal ️ 3. Naik MRT ️ 4. Nonton Migu &amp; meet ooms &amp; new ooms ️ https://t.co/66QCDW177z,to do list selama di jakarta november makan nasi kapau solat jumat di masjid istiqlal naik mrt nonton migu amp meet ooms amp new ooms,to do list selama di jakarta november makan nasi kapau solat jumat di masjid istiqlal naik mrt nonton migu amp meet ooms amp new ooms,Neutral,8.456.622.362.136.840
On This Day balik dari kantor Smartfren Sabang abis dinobatkan jadi One of Employee of The Year. Hujan2 pake batik Ijo naik MRT ke GBK buat jadi saksi hidup momen ini,on this day balik dari kantor smartfren sabang abis dinobatkan jadi one of employee of the year hujan pake batik ijo naik mrt ke gbk buat jadi saksi hidup momen ini,on this day balik dari kantor smartfren sabang abis dinobatkan jadi one of employee of the year hujan pakai batik ijo naik mrt ke gbk buat jadi saksi hidup momen ini,Positive,9.289.652.109.146.110
Kesenjangan sosial naik KRL vs MRT MRT= rata2 hpnya boba stylenya orang2 kantoran KRL= banyak yg masih pake android sambil liat tiktok/fb stylenya semuaaa masook,kesenjangan sosial naik krl vs mrt mrt rata hpnya boba stylenya orang kantoran krl banyak yg masih pake android sambil liat tiktok fb stylenya semua masook,kesenjangan sosial naik krl vs mrt mrt rata hpnya boba stylenya orang kantoran krl banyak yang masih pakai android sambil liat tiktok facebook stylenya semua masook,Negative,9.982.353.448.867.790
@pyeonqii Monyedd naik mrt dari depan komuk lu langsung Sudirman yee,monyedd naik mrt dari depan komuk lu langsung sudirman yee,monyedd naik mrt dari depan komuk kamu langsung sudirman yee,Negative,9.989.933.371.543.880
Naik transportasi umum kini jadi makin praktis cukup tap HP aja! Dengan fitur QRIS Tap di aplikasi Livin by Mandiri kamu bisa naik Transjakarta Commuter Line MRT LRT hingga Damri dengan lebih mudah dan bisa pakai sumber dana Mandiri Tabungan/Kartu Kredit. Yuk https://t.co/S0CsLF0eXo,naik transportasi umum kini jadi makin praktis cukup tap hp aja dengan fitur qris tap di aplikasi livin by mandiri kamu bisa naik transjakarta commuter line mrt lrt hingga damri dengan lebih mudah dan bisa pakai sumber dana mandiri tabungan kartu kredit yuk,naik transportasi umum kini jadi makin praktis cukup tap hp saja dengan fitur qris tap di aplikasi livin by mandiri kamu bisa naik transjakarta commuter line mrt lrt hingga damri dengan lebih mudah dan bisa pakai sumber dana mandiri tabungan kartu kredit yuk,Positive,9.957.032.799.720.760
Naik mrt ke LebakBulus cari bus dadakan ke Garut rental motor dadakan jg kesorean sampe papandayan kena trek mlm dan nyasar makanan+duit dimakan babi kunci motor ilang drama nangis2an️ketinggalan bus pulang 3 jam nunggu cari bus lain dan smpe di jakarta jam 3 pagi lg️,naik mrt ke lebakbulus cari bus dadakan ke garut rental motor dadakan jg kesorean sampe papandayan kena trek mlm dan nyasar makanan duit dimakan babi kunci motor ilang drama nangisan ketinggalan bus pulang jam nunggu cari bus lain dan smpe di jakarta jam pagi lg,naik mrt ke lebakbulus cari bus dadakan ke garut rental motor dadakan juga kesorean sampai papandayan kena trek malam dan nyasar makanan duit dimakan babi kunci motor ilang drama nangisan ketinggalan bus pulang jam nunggu cari bus lain dan sampai di jakarta jam pagi lagi,Positive,9.616.489.410.400.390
@Niska_karsa turun mrt blok m bca lurus melawai habis itu belok kanan dia tuh ada di sebelah kanan dan kyk pintu kecil gt.. naik tangga dulu ke atas terus nyampe deh...,turun mrt blok m bca lurus melawai habis itu belok kanan dia tuh ada di sebelah kanan dan kyk pintu kecil gt naik tangga dulu ke atas terus nyampe deh,turun mrt blok m bca lurus melawai habis itu belok kanan dia tuh ada di sebelah kanan dan kayak pintu kecil begitu naik tangga dulu ke atas terus sampai deh,Neutral,7.815.640.568.733.210
@tanyarlfes Gw pernah naik MRT ketemu bule sekeluarganya kaga ada yang mandi buseeetttttttt itu jarak gw berdiri ke keluarga bule 2meteran ya.. tapi baunyaaaaa!!! Apalagi AC MRT itu kan nyembur bgt ya.. baunya kemana2.,gw pernah naik mrt ketemu bule sekeluarganya kaga ada yang mandi buset itu jarak gw berdiri ke keluarga bule meteran ya tapi baunya apalagi ac mrt itu kan nyembur bgt ya baunya kemana,saya pernah naik mrt ketemu bule sekeluarganya kaga ada yang mandi buset itu jarak saya berdiri ke keluarga bule meteran ya tapi baunya apalagi ac mrt itu kan nyembur banget ya baunya kemana,Negative,98.113.614.320.755
@nekogiel naik mrt tujuannya blm ada wkwk,naik mrt tujuannya blm ada wkwk,naik mrt tujuannya belum ada wkwk,Neutral,9.996.819.496.154.780
@alpacamukbang_ Mrt bisa sih kak kalo yg di kemang itu yaahh kayanya bisa turun di mrt blok m trus naik Gojek deh,mrt bisa sih kak kalo yg di kemang itu yaahh kayanya bisa turun di mrt blok m trus naik gojek deh,mrt bisa sih kak kalau yang di kemang itu yaahh kayaknya bisa turun di mrt blok m terus naik gojek deh,Neutral,9.986.751.675.605.770
punya lama tak naik ktm dekat kl sentral lalu depan entrance. tengok gatenya menarik perhatian betul nampak la terang situ dah boleh touch pakai card je. ktm lagi maju dari mrt apoo. tak naik ktm dah sebab lembab,punya lama tak naik ktm dekat kl sentral lalu depan entrance tengok gatenya menarik perhatian betul nampak la terang situ dah boleh touch pakai card je ktm lagi maju dari mrt apoo tak naik ktm dah sebab lembab,punya lama tidak naik ktm dekat kalau sentral lalu depan entrance tengok gatenya menarik perhatian betul nampak la terang situ sudah boleh touch pakai card je ktm lagi maju dari mrt apoo tidak naik ktm sudah sebab lembab,Positive,8.635.691.404.342.650
2 hari ke jakarta selain ke comifuro kemana aja? inii wkwkwkw dan masih banyak lagi full jalan jalan dari pagi sampai malem - sea world ancol rencana dari comifuro kesana tapi kesiangan jadinya gabisa deh seru banget bisa ngerasain naik krl mrt sama tj full transum https://t.co/hyfAiOxxKP,hari ke jakarta selain ke comifuro kemana aja inii wkwkwkw dan masih banyak lagi full jalan jalan dari pagi sampai malem sea world ancol rencana dari comifuro kesana tapi kesiangan jadinya gabisa deh seru banget bisa ngerasain naik krl mrt sama tj full transum,hari ke jakarta selain ke comifuro kemana saja inii wkwkwkw dan masih banyak lagi penuh jalan jalan dari pagi sampai malam sea world ancol rencana dari comifuro kesana tapi kesiangan jadinya tidak bisa deh seru sekali bisa merasakan naik krl mrt sama tj penuh transportasi umum,Negative,5.777.993.202.209.470
wallahi gue kalo pulang ngampus lebih pilih bayar gojek langsung ke st kby daripada harus ngantri uler di csw buat ke velbak kadang kalo mau pulang naik mrt jg ngeliatnya udh pusing duluan semangat yah warga ciledug,wallahi gue kalo pulang ngampus lebih pilih bayar gojek langsung ke st kby daripada harus ngantri uler di csw buat ke velbak kadang kalo mau pulang naik mrt jg ngeliatnya udh pusing duluan semangat yah warga ciledug,wallahi saya kalau pulang ngampus lebih pilih bayar gojek langsung ke st kby daripada harus ngantri uler di csw buat ke velbak kadang kalau mau pulang naik mrt juga ngeliatnya sudah pusing duluan semangat yah warga ciledug,Positive,9.924.349.188.804.620
Gue tiap pulang ngantor naik mrt turun blok m yg mau masuk selalu pada nggak sabar alhasil gue tabrak2in aja peduli setan,gue tiap pulang ngantor naik mrt turun blok m yg mau masuk selalu pada nggak sabar alhasil gue tabrakin aja peduli setan,saya tiap pulang ngantor naik mrt turun blok m yang mau masuk selalu pada tidak sabar alhasil saya tabrakin saja peduli setan,Negative,9.998.242.259.025.570
dari csw naik mrt lah turun di fatmawati oke posisi masih hujan pesen grab lah yang biasa goceng ini 25k anjir dengan waktu tempuh 5 menit kayak GILAAAAA tapi mau gimana ya daripada telat gapapa deh namanya juga hujan ga ada yang tau,dari csw naik mrt lah turun di fatmawati oke posisi masih hujan pesen grab lah yang biasa goceng ini k anjir dengan waktu tempuh menit kayak gila tapi mau gimana ya daripada telat gapapa deh namanya juga hujan ga ada yang tau,dari csw naik mrt lah turun di fatmawati oke posisi masih hujan pesan grab lah yang biasa goceng ini k anjir dengan waktu tempuh menit kayak gila tapi mau gimana ya daripada telat tidak apa-apa deh namanya juga hujan tidak ada yang tahu,Negative,9.997.687.935.829.160
@januar9 Hai Kak. Silakan naik rute D41 tujuan Lebak Bulus turun di bus stop St. MRT Fatmawati. Untuk fitur perencanaan perjalanan dapat mengunduh aplikasi TJ: Transjakarta pada Playstore atau Appstore ya. Terima kasih ^SN,hai kak silakan naik rute d tujuan lebak bulus turun di bus stop st mrt fatmawati untuk fitur perencanaan perjalanan dapat mengunduh aplikasi tj transjakarta pada playstore atau appstore ya terima kasih sn,hai kak silakan naik rute d tujuan lebak bulus turun di bus stop st mrt fatmawati untuk fitur perencanaan perjalanan dapat mengunduh aplikasi tj transjakarta pada playstore atau appstore ya terima kasih sn,Neutral,9.997.377.991.676.330
@BuayaEmpang Ya beda dong pemulung msh sanggup naik MRT LRT Busway krn itu public transport. Klo Whoosh itu bisnis transport krn utk kalangan menengah keatas. Jokower emank pd goblok.,ya beda dong pemulung msh sanggup naik mrt lrt busway krn itu public transport klo whoosh itu bisnis transport krn utk kalangan menengah keatas jokower emank pd goblok,ya beda dong pemulung masih sanggup naik mrt lrt busway karena itu public transport kalau whoosh itu bisnis transport karena untuk kalangan menengah keatas jokower memang pada goblok,Negative,9.998.736.381.530.760
@KaZep7 @PebriyanDwi_P @miftahoo @BuayaEmpang Ya beda dong pemulung msh sanggup naik MRT LRT Busway krn itu public transport. Klo Whoosh itu bisnis transport krn utk kalangan menengah keatas. Jokower emank pd goblok.,ya beda dong pemulung msh sanggup naik mrt lrt busway krn itu public transport klo whoosh itu bisnis transport krn utk kalangan menengah keatas jokower emank pd goblok,ya beda dong pemulung masih sanggup naik mrt lrt busway karena itu public transport kalau whoosh itu bisnis transport karena untuk kalangan menengah keatas jokower memang pada goblok,Negative,9.998.736.381.530.760
imut bgt kaya naik mrt https://t.co/SJ3eEUP3K2,imut bgt kaya naik mrt,imut banget kaya naik mrt,Positive,9.919.763.207.435.600
Hujan deres..abis lunch dr GI naik MRT..dr stat MRT ke kantor pakai payung padahal deket tp ttp aja basah ya.. Sampe meja duingin polll.. Menggigil ini AC central ga bisa di kecilin... butuh selimut ini,hujan deres abis lunch dr gi naik mrt dr stat mrt ke kantor pakai payung padahal deket tp ttp aja basah ya sampe meja duingin pol menggigil ini ac central ga bisa di kecilin butuh selimut ini,hujan deras abis lunch dari lagi naik mrt dari stat mrt ke kantor pakai payung padahal deket tapi tetap saja basah ya sampai meja duingin pol menggigil ini ac central tidak bisa di kecilin butuh selimut ini,Negative,9.818.326.234.817.500
@n0rin_4 rill deket tinggal naik bis mrt lrt dah nyampe https://t.co/t5f3UVXRYA,rill deket tinggal naik bis mrt lrt dah nyampe,asli deket tinggal naik bis mrt lrt sudah sampai,Positive,9.875.512.719.154.350
stuck di mrt karena ujan tbtb ada coworkers yg gue belom kenal nyamper dan ngajak bareng naik gocar small things that makes me really happy,stuck di mrt karena ujan tbtb ada coworkers yg gue belom kenal nyamper dan ngajak bareng naik gocar small things that makes me really happy,terjebak di mrt karena ujan tbtb ada coworkers yang saya belum kenal nyamper dan mengajak bareng naik gocar small things that makes me really happy,Positive,9.993.898.868.560.790
Blm nyampe di tempat kerja udah laper lagi bjir salah naik transport harusnya naik mrt aja gak macet,blm nyampe di tempat kerja udah laper lagi bjir salah naik transport harusnya naik mrt aja gak macet,belum sampai di tempat kerja sudah lapar lagi bjir salah naik transport harusnya naik mrt saja tidak macet,Negative,9.849.668.145.179.740
Pemerintah Provinsi DKI Jakarta mulai menyediakan layanan transportasi gratis untuk 15 kelompok masyarakat mencakup MRT LRT dan Transjakarta. https://t.co/X3lvBFSyDS #souja #soulofjakarta #kliksouja #kartupekerja #jakarta #transportasi #umum #mrt #lrt #krl #lifestyle https://t.co/EkM7SBJpqX,pemerintah provinsi dki jakarta mulai menyediakan layanan transportasi gratis untuk kelompok masyarakat mencakup mrt lrt dan transjakarta souja soulofjakarta kliksouja kartupekerja jakarta transportasi umum mrt lrt krl lifestyle,pemerintah provinsi dki jakarta mulai menyediakan layanan transportasi gratis untuk kelompok masyarakat mencakup mrt lrt dan transjakarta souja soulofjakarta kliksouja kartupekerja jakarta transportasi umum mrt lrt krl lifestyle,Neutral,9.991.581.439.971.920
giliran gue mau naik mrt malah gangguan anjrittt dah jam 10 enih,giliran gue mau naik mrt malah gangguan anjrit dah jam enih,giliran saya mau naik mrt malah gangguan anjrit sudah jam enih,Negative,9.979.966.282.844.540
@bechlogs lagi naik mrt om sabar,lagi naik mrt om sabar,lagi naik mrt om sabar,Positive,999.588.668.346.405
@snuggleicebearr banget makanya wa kalo ke SQ mending potong setengah TB Simatupang-nya lewat Antasari (kalo lagi ngga naik MRT).,banget makanya wa kalo ke sq mending potong setengah tb simatupang nya lewat antasari kalo lagi ngga naik mrt,sekali makanya saya kalau ke sq mending potong setengah tb simatupang nya lewat antasari kalau lagi tidak naik mrt,Negative,9.948.592.185.974.120
@alandrazx Naik mrt kan bisa terus balik ke kos ku wkwkwk,naik mrt kan bisa terus balik ke kos ku wkwkwk,naik mrt kan bisa terus balik ke kos ku wkwkwk,Neutral,9.996.280.670.166.010
@amrhnshh Morning pagi ni i naik MRT sbb heavy raining seasons...semoga tak breakdown,morning pagi ni i naik mrt sbb heavy raining seasons semoga tak breakdown,morning pagi ini saya naik mrt sbb heavy raining seasons semoga tidak breakdown,Neutral,9.996.391.534.805.290
Tapi emg jakarta parah banget men. Gue masih sanggup nungguin wira wiri ke ITS sekitarnya daripada transit R4 tapi waktu mau ke fX mending naik krl sampe sudirman terus lanjut naik MRT daripada full pake busway capek transit dukuh atas/macet macetan di HI,tapi emg jakarta parah banget men gue masih sanggup nungguin wira wiri ke its sekitarnya daripada transit r tapi waktu mau ke fx mending naik krl sampe sudirman terus lanjut naik mrt daripada full pake busway capek transit dukuh atas macet macetan di hi,tapi memang jakarta parah sekali men saya masih sanggup tunggu wira wiri ke its sekitarnya daripada transit r tapi waktu mau ke fx mending naik krl sampai sudirman terus lanjut naik mrt daripada penuh pakai busway capai transit dukuh atas macet macetan di hi,Negative,9.998.300.075.531.000
@tubirfess Mau nyaman bisa Naik MRT atau bisa gocar kak kalau g bisa juga naik kucing aja pergi kerjanya.. mau nyaman dan g bau tapi naiknya transum 3000an malu ih,mau nyaman bisa naik mrt atau bisa gocar kak kalau g bisa juga naik kucing aja pergi kerjanya mau nyaman dan g bau tapi naiknya transum an malu ih,mau nyaman bisa naik mrt atau bisa gocar kak kalau tidak bisa juga naik kucing saja pergi kerjanya mau nyaman dan tidak bau tapi naiknya transportasi umum an malu ih,Negative,9.996.528.625.488.280
@jsofari_ @tokopedijee km tinggal naik mrt langsung msuk surga,km tinggal naik mrt langsung msuk surga,kamu tinggal naik mrt langsung msuk surga,Positive,9.961.627.721.786.490
Orang dgn disabilitas mengeluarkan lebih banyak uang untuk mobilitas karena tata kota tak berpihak pd mereka. Kalau dari Depok ke Senayan non disabilitas dengan mudah bisa naik TJ dan MRT dengan biaya 13.5k Disabilitas daksa dgn kursi roda perlu 150an ribu untuk ke Senayan.,orang dgn disabilitas mengeluarkan lebih banyak uang untuk mobilitas karena tata kota tak berpihak pd mereka kalau dari depok ke senayan non disabilitas dengan mudah bisa naik tj dan mrt dengan biaya k disabilitas daksa dgn kursi roda perlu an ribu untuk ke senayan,orang dengan disabilitas mengeluarkan lebih banyak uang untuk mobilitas karena tata kota tidak berpihak pada mereka kalau dari depok ke senayan non disabilitas dengan mudah bisa naik tj dan mrt dengan biaya k disabilitas daksa dengan kursi roda perlu an ribu untuk ke senayan,Negative,9.187.087.416.648.860
@Mioju Yeay mau dijajanin Mac s Creamery sama Abey ya? :p Ini outfit Abang yang ke Blok Mnya setelah pulang ngantor (ceritanya nyusul dari Sudirman biar bisa nyambung naik MRT) https://t.co/NLM2eNucti,yeay mau dijajanin mac s creamery sama abey ya p ini outfit abang yang ke blok mnya setelah pulang ngantor ceritanya nyusul dari sudirman biar bisa nyambung naik mrt,yeay mau dijajanin mac s creamery sama abey ya p ini outfit abang yang ke blok mnya setelah pulang ngantor ceritanya susul dari sudirman biar bisa nyambung naik mrt,Neutral,9.828.962.683.677.670
Aku kyk orang dari goa anjer pertama kali naik mrt https://t.co/HvVJBZ13Tc,aku kyk orang dari goa anjer pertama kali naik mrt,saya kayak orang dari goa anjer pertama kali naik mrt,Positive,5.221.320.390.701.290
kalau sedang naik mrt. biasakan ngasih kursi prioritas buat yang berhak.,kalau sedang naik mrt biasakan ngasih kursi prioritas buat yang berhak,kalau sedang naik mrt biasakan kasih kursi prioritas buat yang berhak,Neutral,9.996.380.805.969.230
@kotakmakan Naik MRT ke Lebak Bulus lanjut Koridor 8. Tapi muter jadinya,naik mrt ke lebak bulus lanjut koridor tapi muter jadinya,naik mrt ke lebak bulus lanjut koridor tapi muter jadinya,Neutral,9.995.728.135.108.940
- ngerayain bday sm my longtime crush wkwk (walaupun akhirnya asing lagi) - nyobain naik lrt sm mrt - nonton konser blackpink,ngerayain bday sm my longtime crush wkwk walaupun akhirnya asing lagi nyobain naik lrt sm mrt nonton konser blackpink,ngerayain bday sama my longtime crush wkwk walaupun akhirnya asing lagi coba naik lrt sama mrt nonton konser blackpink,Neutral,99.134.361.743.927
@daladom_ms Naik mrt/lrt setel,naik mrt lrt setel,naik mrt lrt setel,Neutral,9.995.025.396.347.040
@deiineschatz @wolfyouuu Bolt atau grab sih.. jalan kaki terus naik kereta jg.... misalnya dari bandara ke hotel naik grabcar hotel ke iconsiam atau talat noi jakil dari icon siam ke stasiun jakil stasiun ke venue konser pke mrt pratunam ke wat arun naik bis hotel ke chula bolt/grab motor gitu2,bolt atau grab sih jalan kaki terus naik kereta jg misalnya dari bandara ke hotel naik grabcar hotel ke iconsiam atau talat noi jakil dari icon siam ke stasiun jakil stasiun ke venue konser pke mrt pratunam ke wat arun naik bis hotel ke chula bolt grab motor gitu,bolt atau grab sih jalan kaki terus naik kereta juga misalnya dari bandara ke hotel naik grabcar hotel ke iconsiam atau talat noi jakil dari icon siam ke stasiun jakil stasiun ke venue konser pakai mrt pratunam ke buat arun naik bis hotel ke chula bolt grab motor begitu,Neutral,9.818.790.555.000.300
-Keluar kandang. Dr yg seumur idup cuma berkutat di Jogja tahun ini merantau ke Jakarta. Culture shock bgt sih. -Kerja dengan segala tanggung jawabnya -naik MRT,keluar kandang dr yg seumur idup cuma berkutat di jogja tahun ini merantau ke jakarta culture shock bgt sih kerja dengan segala tanggung jawabnya naik mrt,keluar kandang dari yang seumur hidup cuma berkutat di jogja tahun ini merantau ke jakarta culture shock banget sih kerja dengan segala tanggung jawabnya naik mrt,Negative,9.981.303.811.073.300
kocak banget gue udah book buat mx cgv tapi malah beli tiket pland... untung blok m - gi bisa naik mrt,kocak banget gue udah book buat mx cgv tapi malah beli tiket pland untung blok m gi bisa naik mrt,kocak sekali saya sudah book buat mx cgv tapi malah beli tiket pland untung blok m lagi bisa naik mrt,Negative,8.405.704.498.291.010
@shimafanissa @fernandosbp Worth it sih..tp klw weekend pasti rame banget..saran klw bawa kend pribadi taro aja hotel..naik aja tije/mrt atau gojek klw mau lebih cepet..parkiran susah soalnya..klw parkir liar suka kena getok.. Tentuin dl aja mau kmn² nya.. Gue maupun anak jaksel ngindarin blok m pas WE,worth it sih tp klw weekend pasti rame banget saran klw bawa kend pribadi taro aja hotel naik aja tije mrt atau gojek klw mau lebih cepet parkiran susah soalnya klw parkir liar suka kena getok tentuin dl aja mau kmn² nya gue maupun anak jaksel ngindarin blok m pas we,worth it sih tapi kalau weekend pasti ramai sekali saran kalau bawa kend pribadi taro saja hotel naik saja tije mrt atau gojek kalau mau lebih cepat parkiran susah soalnya kalau parkir liar suka kena getok tentuin dulu saja mau kmn² nya saya maupun anak jaksel ngindarin blok m pas we,Negative,9.899.551.868.438.720
fighter dari st tangerang jam 5.20 turun mrt fatmawati jam 7.50 lah blm jalan kakinya 15 menit anjirgagal lg masuk jam 7 wkwk. masa kudu naik kereta yg jam 5.07si non morning person ini udh engap bgt jujur,fighter dari st tangerang jam turun mrt fatmawati jam lah blm jalan kakinya menit anjirgagal lg masuk jam wkwk masa kudu naik kereta yg jam si non morning person ini udh engap bgt jujur,fighter dari st tangerang jam turun mrt fatmawati jam lah belum jalan kakinya menit anjirgagal lagi masuk jam wkwk masa kudu naik kereta yang jam si non morning person ini sudah engap banget jujur,Negative,993.808.925.151.825
@yappingfess Bisa by asal saldonya cukup. Bisa buat tj mrt tpi gbs buat naik pesawat sm kapal yh,bisa by asal saldonya cukup bisa buat tj mrt tpi gbs buat naik pesawat sm kapal yh,bisa by asal saldonya cukup bisa buat tj mrt tapi gbs buat naik pesawat sama kapal yh,Neutral,9.991.269.707.679.740
@wolfyouuu Tergantung 2 tahun lalu aku Bangkok-Ciang Rai 6 hari kayanya habis di 12 udah dengan tiket+akomodasi dan selama disana banyakan naik taxi tp sharing tahun kemarin aku ngabisin 5 lebih dijajan dan belanjaan totalan 10 juta kurang sampe akomodasi banyakan naik bus dan MRT,tergantung tahun lalu aku bangkok ciang rai hari kayanya habis di udah dengan tiket akomodasi dan selama disana banyakan naik taxi tp sharing tahun kemarin aku ngabisin lebih dijajan dan belanjaan totalan juta kurang sampe akomodasi banyakan naik bus dan mrt,tergantung tahun lalu saya bangkok ciang rai hari kayaknya habis di sudah dengan tiket akomodasi dan selama disana banyakan naik taxi tapi sharing tahun kemarin saya ngabisin lebih dijajan dan belanjaan totalan juta kurang sampai akomodasi banyakan naik bus dan mrt,Positive,9.851.419.925.689.690
@chaadszure @3rdfekoptiks me naik MRT habis tu nyambung pake grab,me naik mrt habis tu nyambung pake grab,me naik mrt habis itu nyambung pakai grab,Neutral,9.996.742.010.116.570
@senjamakinmerah @wolfyouuu Malah lebih mahal. Solo trip atau bareng temen aja. Kalau cuma di Bangkok aman banget. Gampang kemana2 naik bis mrt bts grab semua oke,malah lebih mahal solo trip atau bareng temen aja kalau cuma di bangkok aman banget gampang kemana naik bis mrt bts grab semua oke,malah lebih mahal solo trip atau bareng teman saja kalau cuma di bangkok aman sekali gampang kemana naik bis mrt bts grab semua oke,Positive,5.170.250.535.011.290
Kalau HalTeman biasanya naik atau turun MRT di Stasiun Fatmawati jangan lupa keluarnya lewat Pintu C. Soalnya ada pameran MBALIK Museum Basoeki Abdullah di ruang publik. Judulnya ARTway: Basoeki Abdullah &amp; Perjalanannya . Gratis sampai 30/11/25! https://t.co/SKgsuGab62,kalau halteman biasanya naik atau turun mrt di stasiun fatmawati jangan lupa keluarnya lewat pintu c soalnya ada pameran mbalik museum basoeki abdullah di ruang publik judulnya artway basoeki abdullah amp perjalanannya gratis sampai,kalau halteman biasanya naik atau turun mrt di stasiun fatmawati jangan lupa keluarnya lewat pintu c soalnya ada pameran mbalik museum basoeki abdullah di ruang publik judulnya artway basoeki abdullah amp perjalanannya gratis sampai,Neutral,7.733.542.919.158.930
@acceptxt Salah naik bus ama mrt klo salah naik peri udh dimaki org imigrasi gue,salah naik bus ama mrt klo salah naik peri udh dimaki org imigrasi gue,salah naik bus sama mrt kalau salah naik peri sudah dimaki orang imigrasi saya,Negative,9.993.427.395.820.610
@smkaoau Iya aku sering naik mrt!!! Haha,iya aku sering naik mrt haha,iya saya sering naik mrt haha,Positive,9.988.644.123.077.390
@WeTVIndonesia yg naik mrt barengan dong gaiss atau yg dri bogor yukk bareng,yg naik mrt barengan dong gaiss atau yg dri bogor yukk bareng,yang naik mrt bersamaan dong gaiss atau yang dari bogor yukk bareng,Neutral,9.978.712.797.164.910
@bluesaiurs Cuma pernah naik MRT sama kereta bandara MAAF KATRO,cuma pernah naik mrt sama kereta bandara maaf katro,cuma pernah naik mrt sama kereta bandara maaf katro,Neutral,9.995.812.773.704.520
