normalized,hf_final,hf_score,label_id
beberapa kali ngalamin pas kuliah naik kereta jaya tingkir turun di stasiun senen sekitar jam 2 00 pulanh lanjut naik krl yang tersedia jam 5 10 menunggu sambil tiduran di kursi memegang tas kuat2 karena takut dimaling,Neutral,6.961.883.902.549.740,1
mending seventeen nder adem enggak mudah kusut dan nemplok seharian enggak gerak gerak mana harganya cuman 40an lagi kalau diskon bisa 30 ribu ini aku pakai yang warna ocean blue dibawa naik motor dan krl sampai tengah malam pun bentuknya masih stay kayak begini,Positive,9.974.607.229.232.780,2
ya bagaimana karena naik turun saja langsung di pusat kota dan terutama di jakarta terintegrasi dengan moda lain sebab transjakarta krl kecuali gambir pilihan kelas lebih beragam ada mewah panorama prioritas eksekutif ekonomi,Positive,9.989.277.720.451.350,2
besok pagii jam ke daerah glodok buat liputan otomatis naik krl ke arah jakarta kota di jam brngkf kerja takut banget ke geprek njr tolong semoga my kamera dan lain2 nya enggak kenapa,Negative,9.965.149.164.199.820,0
ngrantau sendirian di kota orang naik travel sendiri buat pulkam naik krl sendiri dari bks pse jujur ​​takut hilang dan salah naiksyukurnya kagak semua dilakukan sendiri alias nekat benar lu bos tapi suatu pencapaian baru ya,Positive,9.675.026.535.987.850,2
aku kapan-kapan pulang naik krl lewat stasiun palmerah kali ya siapa tau ketemu wkwkw,Neutral,9.970.224.499.702.450,1
sbnrnya kalo direct naik mobil jauh sih soalnya di bintaro tapi bisa naik krl turun cisauk itu kurleb sekitar 3 4 kamu dari ice nya total sekitar 30 menit perjalanan lah dari kos ice,Neutral,8.703.486.919.403.070,1
pulang kerja naik apa ganteng krl apa tj,Neutral,710.081.160.068.512,1
monmaap orang orang yang naik krl bisa enggak siapin kartunya sebelum tap ini apa enggak tap out jangan baru mencari kartu di depan mesin gate anjing,Negative,9.995.792.508.125.300,0
tiga kata lucu nangisin krl pensiun sedih krl yang lama sudah enggak ada soalnya banyak banget kenangannya naik itu,Positive,9.983.168.840.408.320,2
berarti mengapai cepat-cepat sampai bandung apalagi liburan sudah begitu repot naik krl terus menyambung lrt ke stasiun halim terus turun di padalarang turun ke lantai 1 naik kak feeder baru sampai kota bandung,Neutral,8.824.988.603.591.910,1
naik krl harus dari waktu peak hour naik walahar disusul melulu naik garut cibatuan mampir melulu,Negative,677.753.746.509.552,0
untuk transport biar murce bisa naik kak bandara pesan di kai access mulai h 7 dari terminal kedatangan naik kalayang dulu begitu bisa turun di rawa buaya lebih murah atau duri begitu lanjut krl ke duri kalo turun di rawa buaya lanjut ke tanah abang lanjut lagi ke cisauk begitu ojol,Positive,9.369.633.197.784.420,2
gue akan menyelesaikan menonton pasti live soalnya ada adegan yang sangat sangat menggambarkan gwej naik krl awowk,Neutral,9.515.349.268.913.260,1
oh iya sama satu lagi nder takutnya naik krl kena taspat mengambil kecepatan takutnya ada perbaikan rel atau non teknis sekedar mengasih tau saja,Negative,999.760.091.304.779,0
lu pada yang naik krl jam 5 tiap hari sangat kuat,Positive,9.995.560.050.010.680,2
mau open donasi buat ikon tapi aku beli magnum saja memikir-mikir sementara bobby bagi-bagi es krim haagen dazs mau kasihan sama ikon tapi bobby punya rubbicorn sementara aku naik krl desek desekan dahlah,Negative,9.905.081.987.380.980,0
tadi lihat krl jogja solo yang merah terus aku jadi pengin naik krl itu kalaupun ke jogja aku enggak tau mau kemana tapi mengomong sama siapa,Negative,9.996.778.964.996.330,0
naik tj atau krl ya jadi angkutan antar kota antar benua,Neutral,9.996.204.376.220.700,1
sudah lama enggak naik krl setahun lebih,Neutral,9.996.387.958.526.610,1
wkwkwkwkwkwkwkwkwkwkw benar lagian kalau dia punya motor mah pakai saja motor ke kantor daripada ribut naik krl bareng pedagang paling masuk angin sama pegel2 saja ntu badan,Negative,9.996.079.802.513.120,0
benci banget hampir tiap naik krl selalu delay berangkatnya mungkin hanya 20 on time apa gunanya punya jadwal keberangkatan kalo selalu enggak tepat waktu begini,Negative,9.998.862.743.377.680,0
kalo naik krl turun bekasi di peron 7 tuh benaran ngawang banget nyawa gue kebanting kanan kiri depan belakang tbtb resleting ransel gue rusak saja,Negative,9.998.760.223.388.670,0
feeder kcjb itu lelet sama kayak krl biasa mengira kayak whoosh nya juga bikin malas tuh dari padalarang ke bandung kota 30 menit sama saja kalo gakepepet jujur ​​ga suka naik whoosh ini tuh maaf,Negative,9.997.817.873.954.770,0
kalo naik dari stasiun tambun menunggu krl cikarang nya itu lho lama sekali,Negative,9.998.601.675.033.560,0
akhirnya mencoba naik krl dari bekasi sebelumnya naik dari tambun karena lebih dekat dari rumah plot twist pulangnya lebih cepat sampai rumah wkwk,Positive,9.229.397.773.742.670,2
min dari stasiun krl terdekat ke mnc studio yang di kebon jeruk itu naik rute berapa,Neutral,9.996.126.294.136.040,1
sumpah ac krl ini yang gerbong 2 di greenline enggak pernah dingin setiap pulang kantor naik dari rawa buntu jam 17 48 atau 17 58 atau 18 08 panas terus aneh padahal tinggal kasih freon kayanya,Negative,9.997.074.007.987.970,0
sudah setahun enggak naik krl anjir,Neutral,9.997.727.274.894.710,1
bayangan sosial naik krl vs mrt mrt rata-rata hpnya boba stylenya orang-orang kantoran krl banyak yang masih pakai android sambil lihat tiktok fb stylenya semua masook,Negative,4.934.837.520.122.520,0
aslam gwe itu dengan resign dari kerja di jakarta tiap hari pp naik krl wkwk,Neutral,9.960.867.166.519.160,1
sebenarnya keciri enggak pernah naik krl sih dan terbukti pas di manggarai dia ngalangin orang turun diteriakin turun dulu malah ngomel lagi ya sudah sih,Negative,9.998.493.194.580.070,0
itu cat 1 sampai 700 simulasi naik krl kali ya,Neutral,9.993.389.248.847.960,1
tergantung beres ngonser jam berapa kalo jam 11an masih ada krl kalo jam 12 lebih baik nginep saja atau naik grab,Neutral,9.994.776.844.978.330,1
benar banget apalagi kalau naik krl tantrum habis gua,Negative,999.744.713.306.427,0
terakhir ke sana waktu konser nct 127 2022 lalu pp dari rumah ke ice bsd naik krl buat biar bisa lebih hemat eh malah transport dari ice bsd ke stasiun rawa buntu dipatok 200k anjir berasa pp naik taxol,Neutral,9.733.341.336.250.300,1
diundang ikut customer gathering kai services yang pertama banyakan bengong kagumnya mendengarkan yang lain yang pengalaman naik keretanya di jawa mau bilang indonesia tapi ya kebanyakan masih di jawa doang sudah puluhan ratusan kali gua ratusan kali krl jabodetabek doang,Positive,8.554.840.683.937.070,2
aku aku aku aku mencarira barengan naik krl,Neutral,9.990.436.434.745.780,1
kalo keluar venue jam 11an masih ke kejar enggak dari ice bsd naik grab ke cisauk terus ngejar krl cikarang,Neutral,9.963.634.610.176.080,1
memang kalo dari bd ke yk atau slo mending lodaya kalopun ketiduran dari slo masih bisa naik krl balik ke yk,Neutral,9.856.656.193.733.210,1
yuk naik krl koridor 9 yk pl,Neutral,9.997.040.629.386.900,1
naik krl saat weekday dan sore hari sangatlah senggang,Negative,9.951.836.466.789.240,0
naik krl sebelah lu kepanasan nyalain kipas portabelnya suara kencang banget berasa naik pesawat tapi krl,Negative,999.850.869.178.772,0
sama plis mau pindah ke depok enggak apa-apa soalnya bisa naik krl kalo ke jakarta makanya pulang dari depok itu aku enggak mood ngapa mengapai 2 minggu jiwa nya masih ketinggalan di sana,Negative,9.997.382.760.047.910,0
gue enggak bisa naik krl,Negative,9.995.720.982.551.570,0
jadi ingat waktu pulang cf naik krl ada mbak mbak baca buku berdiri sambil nge highlight stabilo gue yang ketar pakai ketir lihatnya soalnya krl kan gedubrak dubrak memutar banyak bikin oleng mbak nya sangat berhati-hati sekali tidak takut mencong,Positive,8.455.322.980.880.730,2
pekerja menginap di stasiun cikarang karena tidak sempat naik krl jabodetabek terakhir menuju bekasi dan jakarta sehingga terpaksa bertahan semalaman solusi yang ditawarkan menteri perhubungan dudy purwagandhi adalah mengkaji penyesuaian operasional krl menjadi 24 jam untuk,Negative,9.983.626.008.033.750,0
wkwk ya allah ada yang namanya krl ada yang namanya lrt tapi kalo mau cepat naik pesawat luar angkasa,Negative,969.027.578.830.719,0
salah gue sih bapak bapak cina bertato pensiunan pemilik pembibitan tanaman gue kira naik krl,Negative,9.960.053.563.117.980,0
pernah enggak bawa hetset terus naik krl ya benaran enggak enak banget akhirny aku lihat jendela saja syuting mv,Negative,9.998.518.228.530.880,0
ke swiss bisa enggak ya naik krl enggak apa-apa kepepes dikit asal gue bisa ikut lu kemana mana,Negative,9.898.806.810.379.020,0
sama kalo naik krl mah turun manggarai bisa nder terus ambil ke cikarang transit di jatinegara kalo enggak salah dari sana naik ke yang pas senen kan dia muter atau kalo naik krl sebelum manggarai turunnya kayak duri begitu terus naik yang ke arah cikarang via kp bandan turun di pas senen,Neutral,8.490.906.357.765.190,1
hahaa iya benar kamu begitu juga kalau naik krl,Positive,683.162.271.976.471,2
yang foto kalo bisa baru pakai transum kayak begini enggak usah bacot memangnya krl cuma buat pegawai kantoran yang pakai laptop saja bau ya bau lah siapa saja boleh naik transum kok,Negative,9.998.099.207.878.110,0
makasiihh aku bawa tumbler isi air putih sensiri tapi 30 lumayan bisa buat tiket naik krl turun bintaro alhamdulillah,Positive,9.995.206.594.467.160,2
yang lebih representatif ini sih tapi di prakteknya memang lebih cepatan naik gojek begitu krl kok dibanding nyetir,Positive,5.967.928.767.204.280,2
dan kesempatan untuk naik lantai tuh beda jarang orang elit naik krl begini gua jamin yang mengetik ini menengah atau menengah ke atas kalian tuh gatakut ya pertukaran roda terus besoknya kalian yang masuk base dan di saltyin begini kalian naik krl tuh sama rakyat sama untuk,Negative,9.987.388.253.211.970,0
menteri perhubungan dudy purwagandhi buka suara soal ramai para pekerja yang menginap di stasiun cikarang karena tidak sempat naik krl jabodetabek jadwal keberangkatan terakhir menuju bekasi dan jakarta dudy membuka kemungkinan penyesuaian operasional layanan krl menjadi 24 jam,Neutral,9.996.446.371.078.490,1
yakan kalo bosan di kota mah tinggal naik krl jalan jalan ke kota lain,Negative,99.940.025.806.427,0
ini tempat ngopinya kalo kamu naik krl bogor line kelihatan kok langsung wkwk cuma enggak tau ya sekarang masih apa enggak padahal lumayan overpriced hrg kopinya sih,Positive,9.809.879.064.559.930,2
cowok gue nyamperin ke bogor naik krl buat jmpt aku dari sukabumi,Positive,9.995.312.690.734.860,2
pertama kali naik krl sendirian,Neutral,994.257.926.940.918,1
hah demi apa gue jarang naik krl terus ini jam 10 diputer lagu indonesia raya dih memang orba sudah come back ini mah,Negative,9.994.874.000.549.310,0
naik krl line bogor duduk samping ibu-ibu pas sampai stasiun ui sih ibu bertanya enggak turun di sini deh aw apaqa aku masih kelihatan kayak mahasiswi iya mahasiswi s3,Positive,9.954.274.892.807.000,2
transportnya diseling sama transport umum saja lokasi rumahnya dekat stasiun enggak soalnya suamiku semenjak pindah rumah dia suka naik krl kalau lagi malas nyetir jadi lumayan menghemat bensin amp tol juga walaupun dari rumah ke pintu tol terhitung dekat paling 10 15menit t,Positive,9.995.731.711.387.630,2
wkwkwkw iya ya tapi entahlah transum di sini jele banget jadi mager kemana2 aku kayak terkagum2 banget pas naik krl ngl ditunggu samplenya kalo begituh,Positive,9.992.498.755.455.010,2
kerja disini lucu deh pembukaan acara pantun penutupannya pantun pembukaan pertemuan pantun pulang naik krl pantun juga lama-lama gua sebelum tidur pantunan juga ini,Positive,9.365.103.840.827.940,2
pengin beli jadikan keychain terus naik krl ke manggarai deh dijamin bakal hilang juga wkwkwkw,Neutral,9.987.248.778.343.200,1
iya gue ngesot dikit sudah jakarta malah jauhan ke sesama bekasi apalagi kabupaten tapi kalo naik transum mah memang jam sedia waktu luang gue juga kalo naik krl brgkt 1 2 jam sebelumnya tapi kalo bawa mobil masih bisa dikejar tergantung rute juga sih mau kemana minusnya kena gage,Neutral,9.996.371.269.226.070,1
buset mau naik bipol kayak mau naik krl gua lihat lihat,Negative,9.993.333.220.481.870,0
aku kasih tau ya naik saja krl biasanya biar aku yang menghindar,Neutral,9.816.156.029.701.230,1
jalan tol saja enggak menerima cash lu mau naik krl juga nolak cash mrt juga nolak cash pemerintah nolak rupiah dong,Negative,9.993.500.113.487.240,0
opsi 1 rumah dikontrakin itu malah hancur nder nanti capek juga beresinnya terkait mobil testimoni orang sekitar yang sering bawa mobil ke kantor sih endingnya enggak setiap hari bawa mobil malah lebih sering naik krl karena katanya nyetir bisa lebih capek dari pada berdiri di krl,Positive,9.998.120.665.550.230,2
busway lrt mrt krl itu investasi sosial karena itu transportasi dalam kota dipakai orang kota mobilitas tiap hari buat berangkat kerja dagang sekolah kuliah yang tadinya orang naik kendaraan pribadi sambil membeli bbm bersubsidi karena ada transportasi umum mereka jadi beralih,Positive,5.510.796.904.563.900,2
kayaknya ini hal biasa ya cuma karena gue kerja di rumah dan jarang naik krl di hari kerja dan jam sibuk jadinya masih suka kaget dengan kepadatan gerbong stasiun,Positive,9.995.157.718.658.440,2
naik kereta api tut tut tut,Neutral,999.272.882.938.385,1
tapi sekarang sudah banyak pejabat yang jadikan naik krl untuk pencitraan,Negative,999.836.802.482.605,0
tiap desek desekan pas naik krl itu isi kepala gue cuman hehehe nafa urbach sialan aku akan selalu membencimu,Negative,9.998.581.409.454.340,0
krl sampai depok baru terus kalau mau bisa naik grab atau enggak naik angkot s16 bisa,Neutral,9.995.075.464.248.650,1
apa naik bus malam dari surabaya terus turun solo mbambung 6 jam di stasiun sambil menunggu jam krl ya,Neutral,9.337.249.994.277.950,1
kai ajak ignasius jonan naik perjalanan terakhir krl jalata usai 19 tahun layani komuter jabodetabek,Neutral,9.997.509.121.894.830,1
ini menyenangkan gue suka jalan mau berkilo kilo gue jabanin dan gue selalu amazer sama penumpang krl jalur green line gue cuma sebenetar naiknya yang sampai rangkasbitung itu bagaimana woy kayanya kalo gue naik tije di jam sibuk lebih duluan gue sampai rumah kuat banget kuat,Positive,9.995.001.554.489.130,2
lebih ke enggak tenang sih kak harus peka sama suara pengumuman di krl terus juga harus tahu stasiun mana yang dekat sama tujuan kita aku paham karena dulu kuliah di thai naik skry train tiap hari,Negative,9.969.061.017.036.430,0
otw ya gege naik krl kamu jemput entar,Negative,9.989.284.873.008.720,0
di ig isinya perjalanan terakhir kereta jalita menangis mulu gue padahal jarang naik krl,Negative,9.747.016.429.901.120,0
kata aku cepat minum anget biar horegnya berhenti dd eh sumpah ini kalau begitu kita ke jepang naik krl terbang saja enggak sih malah keren panjang begitu,Positive,9.654.713.869.094.840,2
tinggal naik krl bisa masuk surga,Positive,9.946.827.292.442.320,2
ambil asesmen ke psikologi naik krl di jakarta menonton konser sendiri tanpa suami di jakarta,Neutral,9.997.430.443.763.730,1
me naik tj ke kampus lalu turun di tj barat untuk sambung krl biar lebih cepat tapi siapa tahu ternyata krl nya tertahan lama banget orgil gua gajadi naik dan ujung2nya gua naik tj lagi,Negative,9.984.752.535.820.000,0
1 lah dimana mana yang punya sendiri pasti jauh lebih enak buat gue yang 25km dan naik krl 18km masih dekat toh selsihnya dikit banget bersangkutan utamanya jadi perkara mau dekat ke kantor kamu,Negative,999.664.306.640.625,0
hari ini sangat menyenangkan karena gua bisa naik prio yang dari kecil gua pengin terima kasih tugas akhir gua bisa memenuhi innerchild mengobrol sama orang baru dan gua bisa bertemu krl crrc beberapa foto hari ini,Positive,9.993.745.684.623.710,2
ges cf tuh ada yang buka open trip begitu enggak sih dari jakarta bingung banget enggak ada barengan kalo banyak barang yang dibawa naik krl deh gasanggup,Negative,6.513.454.914.093.010,0
kalo pulang naik krl keburu enggak ya takut banget enggak kekejar kereta terakhir,Negative,9.989.305.138.587.950,0
keren tiap hari sampai 28 kamu bolak balik lebih dari 50 kamu kenapa enggak naik krl om,Positive,9.960.598.349.571.220,2
bantu kucingku lahiran naik krl solo jogja menangis di dalem bis,Negative,9.702.473.282.814.020,0
kejepit sampai enggak bisa gerak samsek buat orang yang jarang naik krl kayak aku cukup bikin trauma sih,Negative,9.994.425.177.574.150,0
nder baru pertama kali kah naik krl mencoba naik krl ke arah greenline pas jam sibuk kak di jam pulang ya nder selamat mencoba,Negative,9.944.920.539.855.950,0
krl jiri turun di cisauk terus naik gojek,Neutral,9.996.682.405.471.800,1
lo kan investor bro okelah hutang buat invest tapi kalo roi nya enggak sebanding bagaimana coba sebanyak apa orang yang naik woosh sampai harus memaksakan hutang dan biaya maintenance tinggi bandingkan dengan krl saja deh yang jelas demandnya tinggi dan masih belum memenuhi demand,Negative,9.997.032.284.736.630,0
guys ada yang pulang konsernya naik krl enggak ya jujur ​​bingung banget takut enggak kekejar kereta terakhir,Negative,8.733.729.124.069.210,0
kagak ada ngertinya gue capek habis naik krl terus jalan lebih 1kilo bawa bawaan berat dikomenin terus bikin gue bete,Negative,9.997.642.636.299.130,0
enggak ada bedanya sama naik krl,Negative,9.993.665.814.399.710,0
aku sudah mengutuk ciledug lebih baik gue naik krl muterin poris duri tanah abang kebayoran daripada lewatin tempat yang namanya ciledug puri beta ubl,Negative,9.996.981.620.788.570,0
pov naik krl greeline jam sibuk kejepit,Negative,7.878.374.457.359.310,0
waa pada naik krl ya masalah aku lebih dekat sama tj,Neutral,9.884.912.967.681.880,1
gue enggak jadi standing lah tempat duduk saja lupa kalau gue ini jompo naik krl dari manggarai ke bogor berdiri saja gue tidak sanggup aslinya,Negative,9.997.493.624.687.190,0
haloo eh gatauu nih mau ke sana apa enggak kalo jadi sih naik krl saja yang gampangg memang acaranya jam berapaa,Negative,9.946.973.323.822.020,0
sih prabowo kemarin naik krl di jam sepi pasti ya lu merasai sini gendut naik krl jam rame masyaa allah,Negative,9.996.757.507.324.210,0
ih keren gua naik krl pakai qristap,Positive,9.967.331.886.291.500,2
kejadian mengasih hadiah sepatu yang dia mau benar benar otak ku cuman suruh beli buat dia akhirnya aku keluarkan semua tabungan ku baru buat hadiah ultah dia demi deh ke solo enggak enak badan naik krl cuman buat mengasih itu hadiah dan ternyata pas aku kasih hadiah itu dia deh pacaran sama orang,Negative,9.988.376.498.222.350,0
biasanya kalo sc begitu masuknya pagi enggak sih takut badan gue deh capek duluan karena kudu dari pagi dapat makan enggak mana konser jam 8 kenapa enggak dimajuin jam 7 biar bisa pulang naik krl,Negative,9.703.955.054.283.140,0
kakak kalo enggak mau kena macet di pancoran cibubur sama bellanova disarankan naik krl saja sih wkwkwkw,Positive,895.954.430.103.302,2
argh labil mau naik krl atau tj,Negative,9.998.505.115.509.030,0
2 hari ke jakarta selain ke comifuro kemana saja ini wkwkwkw dan masih banyak lagi full jalan jalan dari pagi sampai malam sea world ancol rencana dari comifuro kesana tapi kesiangan jadinya enggak bisa deh seru banget bisa merasai naik krl mrt sama tj full transum,Positive,9.929.518.103.599.540,2
ini sangat berhubungan wkwkwk kalo ada yang bilang naik ini itu aku kayak hah sejauh ini cuma tau krl akskaksk,Negative,9.925.129.413.604.730,0
hari ke 2 malas naik krl,Negative,9.998.779.296.875,0
min mau tanya kalau naik krl dari klaten ke tugu jogja itu untuk pembayaran misal pakai gopay apa bisa untuk membayar lebih dari 1 orang,Neutral,9.996.172.189.712.520,1
iya gue kalo naik krl mau ke jakarta transitnya di citayam wkwwk,Neutral,9.996.602.535.247.800,1
ujan dijam pulang kerja pilihannya cuma naik krl saja,Negative,99.930.739.402.771,0
yuk bisa belajar naik krl karena pasti macet banget bjir,Negative,9.997.851.252.555.840,0
naik krl saja sampai kota atau 5c terus 1a 3 2a itu lebih cepat kalo misal 9 kena macet,Negative,981.040.894.985.199,0
naik krl,Neutral,9.988.112.449.645.990,1
memang pulang jam 3 4an tuh pilihan terbaik sih soalnya pulang jam 5 kurang saja tuh mau naik 13 apa krl smsm pahit kalo dari satrio,Negative,999.832.034.111.023,0
kalo lagi liburan begitu suka ada aku dah 2 kali naik kreta ada turis luar waktu itu enggak dapat yang langsung solo jadi turun jogja lanjut krl an pas awal dekat orang india pas yang ke dua kali itu orang spanyol atau portugis kayaknya soalnya mengobrol sama tmnnya bukan inggris,Negative,9.685.481.190.681.450,0
hari ini mencoba pakai qris tap buat naik krl wah anjing gua merasa bangga dan sedikit shock norak,Positive,5.588.922.500.610.350,2
naik krl dalam istilah basket box out orang biar dapat tempat,Neutral,9.895.570.874.214.170,1
iya kalo di jis atau ia begitu dd pasti datang ini tangerang enggak ada stasiunnya kalo jam krl dd enggak tau naik ojol juga pasti mahal enggak apa-apa kakak mungkin ada next time atau dd dikasih rezeki menonton di korea langsung amin sebenarnya sayang banget tapi ya bagaimana lagi harga tiketnya saja sudah enggak sesuai,Negative,9.995.193.481.445.310,0
entar pulang dari jogja pengin naik krl ke balapan terus lanjut ngebus dari tirtonadi sesekali mengenang pernah digebuk mentalku pas kerja di solo,Positive,4.791.854.918.003.080,2
saya juga sebenarnya pernah menjadi seperti wanita di video masuk duluan dan sepi sehingga tidak kena tegur dan posisi juga baru pertama kali sekali naik krl baru tahu soal ini beberapa pekan setelah saya naik krl dan juga diperkuat video ini ianya akan menjadi satu amalan,Negative,9.987.008.571.624.750,0
naik krl penuh wkwk,Negative,9.992.164.373.397.820,0
kalo pengin kesini naik krl turun mana,Neutral,9.949.734.210.968.010,1
kenapa yang naik krl solo jogja selalu nyerobot masuk duluan tanpa terlebih dahuluin yang keluar,Negative,9.955.412.745.475.760,0
ini ke kampus bagaimana stres ujan deres begini teman teman gua yang naik krl juga di kejebak,Negative,9.998.300.075.531.000,0
pemerintah provinsi dki jakarta mulai menyediakan layanan transportasi gratis untuk 15 kelompok masyarakat mencakup mrt lrt dan transjakarta souja soulofjakarta kliksouja kartupekerja jakarta transportasi umum mrt lrt krl gaya hidup,Neutral,9.996.342.658.996.580,1
pegal punggung saat naik krl lakukan ini asal enggak ganggu penumpang lain dan tali kuat drpras lowbackpain,Negative,9.867.591.261.863.700,0
baru naik krl lagi ada saja yang bikin emosi sialan,Negative,9.998.643.398.284.910,0
tentu saja kai punya prediksi kapan armada2 bekas ini akan sampai pada batas kemampuan dan kapannya itu adalah tahun 2025 ini makanya tahun lalu kereta bekas ini mulai berguguran sementara penumpang sudah sangat banyak hampir sejuta orang naik krl setiap hari,Neutral,9.235.379.695.892.330,1
aku dari jakpus terus kayaknya mau naik krl sih cuma masih belum tau hehe,Neutral,7.686.427.235.603.330,1
tapi sudah pacaran juga lucu banget kak bikin part lucu sih bule makan di warteg dong kak makan cuanki naik angkot dan krl kan sudah,Positive,9.442.935.585.975.640,2
gais ada yang pernah naik krl malam enggak like jam 8 begitu sepi orang rame ya maaf ku biasa krl an sore tapi baru kali ini malam wkwk,Negative,9.979.769.587.516.780,0
jujurr ini yang paling malas padahal mah tinggal jalan lurus saja ya eh ini kalo naik krl harus muter dulu ke durii,Negative,9.997.952.580.451.960,0
minggu lalu minker mencoba redline pagi pagi memang warbiyasa sih yang lari turun tangga ngejar arah sudirman yang lari naik tangga sradak sruduk maksa masuk ke krl yang sudah padat yang mundur enggak kuat mau pepes pepesan yang memilih foto dan ngerekam momen juga ada,Negative,5.509.225.726.127.620,0
kalo saja ke kalo bisa naik krl mah,Neutral,9.858.419.299.125.670,1
eh aku baru sadar aku salah maksudnya aku ke event dulu kak baru ads jadi dari cawang ke manggarai dulu naik krl entar ke sudirman duh tangan sama otak kagak sinkron,Negative,9.996.867.179.870.600,0
ini naik krl atau tj ya,Neutral,999.613.344.669.342,1
sudah 6bln ganaik krl sekalinya naik ada masalah operasional jancok,Negative,9.997.888.207.435.600,0
enggak tiap hari naik krl tapi hari ini tumben banget jam 9 masih padat biasanya sudah longgar di dalam,Negative,9.949.831.962.585.440,0
enggak tau sudah berapa kali gua teriak yang turun dulu tiap naik krl,Negative,9.952.774.047.851.560,0
tapi memang jakarta parah banget men gue masih sanggup menunggu wira wiri ke sekitarnya daripada transit r4 tapi waktu mau ke fx mending naik krl sampai sudirman terus lanjut naik mrt daripada full pakai busway capek transit dukuh atas macet macetan di hi,Negative,9.997.666.478.157.040,0
otw naik krl ke bekasi,Neutral,9.994.493.126.869.200,1
ada anak tak seangkatan naik krl,Neutral,9.977.630.376.815.790,1
belio memilih naik angkot ke itc terus naik krl turun lagi pocin,Neutral,727.193.295.955.658,1
gila benar-benar gila sih green line krl kuat hebat pekerja tiap pagi sore malam naik green line kalau siang enggak sepadet waktu2 itu jadi masih enggak keringetan,Positive,9.160.351.157.188.410,2
baru kali ini naik krl di pontang panting enggak ada harga diriny jink,Negative,9.998.026.490.211.480,0
alesan dulu kalo ke kampus bawa mobil sendiri daripada naik krl ini berlaku juga buat ke mana pun enggak tau kenapa ya dari rumah gue tuh selalu lebih cepat kalo bawa kendaraan pribadi dibandingkan naik transum mungkin karena yang harusnya tetap lurus malah diputerin dulu kali ya,Positive,9.979.390.501.976.010,2
aku ikut sampai jumpa yang tinggal di bekasi kita bisa otw bareng nih aku nanti naik krl adm puyo,Neutral,9.995.452.761.650.080,1
kalo kantor gue di sudirman kayaknya enggak bakal sanggup naik krl tiap hari,Negative,9.894.790.053.367.610,0
iya lagi pas agustus aku ke jogja mau ke senen naik krl dari lenteng ada ibu-ibu berantem di dalem,Negative,9.656.619.429.588.310,0
aku juga naik krl,Neutral,9.993.533.492.088.310,1
bagaimana mau punya pacar baru naik krl saja di gerbong cewek,Negative,9.994.136.095.046.990,0
naik kereta jurusan semarang pasar senen untung subuh tadi gue cek harganya 30k doang agak kaget juga lihat pagi2 sudah se rame itu wkwk jadi mengurungkan niat naik krl,Negative,999.866.247.177.124,0
